Written,Note,Frequency (Hz),Keys
B♭3,"D♭3 (C♯3)",138.59,"key_L1 key_L2 key_L3 key_R1 key_R2 key_R3 key_C1 key_LBflat1"
B3,D3,146.83,"key_L1 key_L2 key_L3 key_R1 key_R2 key_R3 key_C1 key_LB1"
C4,E♭3,155.56,"key_L1 key_L2 key_L3 key_R1 key_R2 key_R3 key_C1"
C♯4,E3,164.81,"key_L1 key_L2 key_L3 key_R1 key_R2 key_R3 key_C1 key_Csharp1"
D4,F3,174.61,"key_L1 key_L2 key_L3 key_R1 key_R2 key_R3"
E♭4,"G♭3 (F♯3)",185.00,"key_L1 key_L2 key_L3 key_R1 key_R2 key_R3 key_Dsharp1"
E4,G3,196.00,"key_L1 key_L2 key_L3 key_R1 key_R2"
F4,A♭3,207.65,"key_L1 key_L2 key_L3 key_R1"
F♯4,A3,220.00,"key_L1 key_L2 key_L3 key_R2"
G4,B♭3,233.08,"key_L1 key_L2 key_L3"
A♭4,B3,246.94,"key_L1 key_L2 key_L3 key_Gsharp1"
A4,C4,261.63,"key_L1 key_L2"
B♭4,"D♭4 (C♯4)",277.18,"key_L1 key_Bflat1"
B4,D4,293.66,"key_L1"
C5,E♭4,311.13,"key_L2"
C♯5,E4,329.63,"-"
D5,F4,349.23,"key_L1 key_L2 key_L3 key_R1 key_R2 key_R3 key_octave1"
E♭5,"G♭4 (F♯4)",369.99,"key_L1 key_L2 key_L3 key_R1 key_R2 key_R3 key_Dsharp1 key_octave1"
E5,G4,392.00,"key_L1 key_L2 key_L3 key_R1 key_R2 key_octave1"
F5,A♭4,415.30,"key_L1 key_L2 key_L3 key_R1 key_octave1"
F♯5,A4,440.00,"key_L1 key_L2 key_L3 key_R2 key_octave1"
G5,B♭4,466.16,"key_L1 key_L2 key_L3 key_octave1"
A♭5,B4,493.88,"key_L1 key_L2 key_L3 key_Gsharp1 key_octave1"
A5,C5,523.25,"key_L1 key_L2 key_octave1"
B♭5,"D♭5 (C♯5)",554.37,"key_L1 key_Bflat1 key_octave1"
B5,D5,587.33,"key_L1 key_octave1"
C6,E♭5,622.25,"key_L2 key_octave1"
C♯6,E5,659.26,"key_octave1"
D6,F5,698.46,"key_Lside1 key_octave1"
E♭6,"G♭5 (F♯5)",739.99,"key_Lside1 key_Lside2 key_octave1"
E6,G5,783.99,"key_Lside1 key_Lside2 key_Rside1 key_octave1"
F6,A♭5,830.61,"key_Lside1 key_Lside2 key_Lside3 key_Rside1 key_octave1"
